Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1
Michael H. v. Gerald D.,491 U.S. 110,1989,"A married woman had a child with a man (Michael) who was not her husband (this was demonstrated by DNA test, even though the husband (Gerald D.) maintained the child was his -- under California law, a DNA test is only recognised by the court if the mother or her husband accept). Michael (and the child, through him) sued for right to visitation, which was denied on the grounds that the child was born out of wedlock and under California law, the husband is presumed to be the father except in very specific cases that were not met. The Supreme Court upheld this decision.",Michael argues that preventing him from visitng his kid without allowing him the opportunity to take a recognised paternity test constituted a violation of his liberty without due process. --> Does ordered liberty include visitation rights for fathers in this way?,1,Scalia,1,1,-,-,deprivation of liberty without due process,1,-,0,0,0,"Snyder v. Massachusets,Palko v. Connecticut"
Stanford v. Kentucky,492 U.S. 361,1989,"Kevin Stanford is convicted of murder, robbery and sodomy and was sentenced to death (which was permitted under a state statute that said that minors could receive the death penalty for Class A felonies), Stanford appealed under the 8th Amendment (cruel and unusual punishment), the Supreme Court decided that the states must locally decide how to the use the death penalty","Scalia references a quote from Thompson v. Oklahoma stating that historical importance and precendent is important to determine whether a right is implicit in ordered liberty, but regardless, it does not necessarily mean that the Eighth Amendment must be incorporated",1,Scalia,1,1,8,,cruel and unusual punishment,1,"2,4",0,0,0,"Thompson v. Oklahoma,Palko v. Connecticut"
Butler v. McKellar,494 U.S. 407,1990,"Butler was arrested on an assault charge and then was informed that he was a suspect in the Pamela Lane murder trial, during police interrogation, he waived his rights about the assault charge for which he was arrrested and then made incriminating statements about the Lane murder which was used against him in court and he was sentenced to death for the murder of Lane, he argued that he wanted to invoke his right to counsel for the murder but not the assault charge and that his statements were inadmissible but the Court of Appeals said that he had already waived his rights and that the Fifth Amendment does not apply to police interrogations according to Arizona v. Roberson, the Supreme Court held up the decision of the Court of Appeals","Rehnquist states that the ""new rule"" established in Roberson can only not apply in a case of collateral review given that the observance of certain procedures are implicit within the idea of ordered liberty, when the accuracy of the conviction would be diminished without it",0,Rehnquist,1,0,-,5,self-incrimination,1,-,1,0,0,"Edwards v. Arizona,Arizona v. Roberson"
"Milkovich v. Lorain Journal Co., 497 U.S. 1",497 U.S. 1,1990,"After a highschool coach testified in Court, the local newspaper published an article claiming that the coach lied. The Coach then sued the newspaper for defamation. The Supreme Court ruled in favor of the coach stating that the First Amendment does not shield opinions from defamation laws when those opinions contain factual implications. ",OL is mentioned once to emphasize the balance between freedom of expression and protection against harm to one's reputation. Rehnquist uses a quote from Justice Stewart to help support the idea that that the protection of one's reputation is fundamental to the concept of ordered liberty,0,Rehnquist,1,0,-,1,defamation,1,-,1,1,1,Rosenblatt v. Baer 
"Cruzan v. Director, Missouri Department of Health",497 U.S. 261,1990,"Cruzan was a woman who was severely injured in an automobile accident and was in a ""persistive vegetative state"". Her parents attempted taking her off her life-support system but the state hospital officials refused to do so without getting approval from Court. Missouri state policty requried there to be clear evidence that the patient wanted to be taken off life-support. The Supreme Court upheld the decision to not take her off life-support because there wasn't sufficient evidence that Cruzan did not want the support and the policy ensures that patients are secure from family members that do not always have the patient's best interest in mind.","While agreeing with the majority, Scalia asserts that while the idea of ""assisted suicide"" does not fall within ordered liberty, this case cannot be classified as such because the measures taken to keep Cruzan alive could be perceived as extraordinary and failing to provide her with sustenance (ultimately killing her) would not cause her pain.",0,Scalia,2,1,-,-,unenumerated right,2,-,1,0,1,Palko v. Connecticut
"Cruzan v. Director, Missouri Department of Health",497 U.S. 261,1990,"Cruzan was a woman who was severely injured in an automobile accident and was in a ""persistive vegetative state"". Her parents attempted taking her off her life-support system but the state hospital officials refused to do so without getting approval from Court. Missouri state policty requried there to be clear evidence that the patient wanted to be taken off life-support. The Supreme Court upheld the decision to not take her off life-support because there wasn't sufficient evidence that Cruzan did not want the support and the policy ensures that patients are secure from family members that do not always have the patient's best interest in mind.","In one of the dissenting opinions written by Justice Stevens, ordered liberty is used to state that individuals have a right to make decisions about their private life and death falls under that liberty.",0,Stevens,3,1,4,-,unenumerated right,1,-,1,0,1,Palko v. Connecticut
Riggins v. Nevada,504 U.S. 127,1992,"Defendant filed motion to be taken of antipsychotic drugs, trial court denied without justifying continued medication, ultimately convicted for murder and roberry; scotus reversed claiming a justification from the court must be provided for denying such motions; cited 6th and 14th ammendments","cites another case in which constitutional power to bring the accused to trial is deemed as necessary in a scheme of ""ordered liberty""",1,O'Connor,1,1,6,-,full and fair trial,1,-,-,1,-,Illinois v. Allen
Foucha v. Louisiana,504 U.S. 71,1992,"The defendant, Foucha, was deemed dangerous despite recovering from the initial mental illness that led to his commitment. The state continued his confinement based on an antisocial personality. The Court asked: Is it unconstitutional to forcefully incarcerate someone at a mental institute when they are violent but not mentally ill, to which they said, yes.","In his dissenting opinion, Justice Kennedy says that substantive due process protects individuals whose rights were so violated by the state that it shocks the conscious of the public, and he does not believe that interning a violent person in a mental institution does no such thing.",0,"Kennedy, Thomas, Rehnquist",3,1,-,-,due process,1,-,0,1,0,Palko v. Connecticut
PLANNED PARENTHOOD OF SOUTHEASTERN PA. v. CASEY,505 U.S. 833,1992,"Oyez: ""The Pennsylvania legislature amended its abortion control law in 1988 and 1989. Among the new provisions, the law required informed consent and a 24 hour waiting period prior to the procedure. A minor seeking an abortion required the consent of one parent (the law allows for a judicial bypass procedure). A married woman seeking an abortion had to indicate that she notified her husband of her intention to abort the fetus. These provisions were challenged by several abortion clinics and physicians. A federal appeals court upheld all the provisions except for the husband notification requirement""","C.J. Rehnquist is taking back ordered liberty, placing its conception in Palko with its predecessor (quoted in Palko), Snyder v. Massachusetts, which emphasizes the ""tradition . . . of the people."" For Rehnquist, the fundamentality of a liberty then needs to be reconceptualized to something that is based on the traditions of the American people. The Dobbs Court drew strongly from this dissent, taking historical evidence from when the 14th Amendment was passed to show that abortion was not a right, and therefore is not a part of the history and tradition of the people. ",,"Rehnquist, White, Scalia, Thomas",3,1,4,-,unenumerated right to abortion,2,1,0,1,0,Palko v. Connecticut
Graham v. Collins,506 U.S. 461,1993,,"Used the Teague watershed rule and determined that the lack of using mitigating evidence was essential to the accuracy of determing guilt or innocence, so ordered liberty was used as a super high bar to not give Graham relief.",0,"White, Rehnquist, Scalia, Kennedy, Thomas",1,1,6,-,due process,5,-,0,0,0,"Teague v. Lane,Mackey v. United States,Palko v. Connecticut"
Herrera v. Collins,506 U.S. 390,1993,"Herrera, a murder convict on death row, discovered new evidence 10 years post-death-sentence-conviction (that he pled guilty for) that his brother murdered the two police officers and is trying to have another trial.","In dissent, Blackmun disagrees with the majority, saying that substantive due process and procedural due process applies in the analysis of argument, saying that the execution of the innocent is against due process. Ordered liberty, and substantive due process in general is conceived more as a ""continuum"" (quoting Harlan in Casey), and when the death penalty is in question, taking away one's life is irreversible, so they believe granting habeas corpus relief is essential to ordered liberty and liberty in general.",1,"Blackmun, Souter, Stevens",3,1,-,-,due process,1,-,1,0,1,"United States v. Salerno,Rochin v. California,Palko v. Connecticut,Poe v. Ullman"
Gilmore v. Taylor,508 U.S. 333,1993,"Due to Illinois's procedure of informing juries fo murder and involutary manslaughter, which did not clearly state that the jury cannot determine a murder conviction if the defendat demonstrates mental unsoundness, defendant Taylor petitioned for habeas corpus relief under a new rule made in Falconer v. Lane. Using the Teague watershed rule, the Court did not grant Taylor habeas corpus relief.","Says that Falcnor's Court's concern expressed that a confused court will reach a guilty verdict for an innocent defendant, but that this part of trial procedings are not fundamental to accurately determining guilt or innocence nor implicit in ordered liberty.",0,"Rehnquist (Scalia, Thomas, Kennedy)",1,1,6,-,due process,5,-,0,0,0,"Teague v. Lane,Graham v. Collins"
Gilmore v. Taylor,508 U.S. 333,1993,"Due to Illinois's procedure of informing juries fo murder and involutary manslaughter, which did not clearly state that the jury cannot determine a murder conviction if the defendat demonstrates mental unsoundness, defendant Taylor petitioned for habeas corpus relief under a new rule made in Falconer v. Lane. Using the Teague watershed rule, the Court did not grant Taylor habeas corpus relief.","Same argument as Rehnquist's in the majority opinion. Says that the Teague rule ""promote[s] the finality of state-court judgments,"" which can be considered under a system of ordered liberty (that the law remains stable and ordered). Ultimately, this benefits the rights of the state over the right of individuals, criminals in particular.",0,O'Connor,2,1,6,-,due process,5,-,0,0,0,"Teague v. Lane,Mackey v. United States"
Albright v. Oliver,510 U.S. 266,1993,"Albright was charged with selling drugs at the testimony of officer, Oliver. The court ultimately ruled that the charge was not substantiated in enough evidence and there was no offense under Illinois law. Albright turned to sue Oliver for depriving him of his liberty interest to not being prsecuted unless under probable cause. The Court ultimately ruled against Albright for reasons including his argument using substantive due process (which they did not like) and the fact that the right to not be criminally charged was not in any way fundamental because this part is prior to the criminal procedure.","Mentions ordered liberty 5 times: two in the main dissent and thrice in footnotes
1st/2nd mention: Outlines fourth amendment substanntive due process protections starting with the exclusionary rule's exclusion in 14th amendment incorporation in Wolf v. Colorado to its eventual inclusion in Mapp v. Ohio.
3rd mention: Pointing at Black's famous dissent in Adamson v. Colorado, says that the Adamson Court (and the Court in general) used/usues ordered liberty as a way to selectively incorporate the first 8 amendments, instead of the total incorporation doctrine that the current Court also liked at the time.
The other 2 mentions are a bit more just evidence and mentions ",0,"Stevens, Blackmun",3,1,4,-,due process (probable cause),1,-,1,0,1,"Wolf v. Colorado,Mapp v. Ohio,In re Winship,Adamson v. California"
Goeke v. Branch,514 U.S. 115,1994,"Recaptured fugitive, convicted murderer, argues her right to an appeal even after violating a well established Missouri fugitive dismissal rule. The Court determines that the fugitive had no right to this.",It is not implicit in ordered liberty underr the Teague rule that the state provides an appelate process (to fulfill due process).,0,per curiam,1,1,-,-,due process,5,-,0,0,0,"Teague v. Lane,Graham v. Collins"
Carlisle v. United States,517 U.S. 416,1995,"Petitioner failed to appeal for an aquittal on time, and says that the inability for him to file is against his due process rights. The Court determined that having deadlines for appealing does not violate his due process rights.","Petitioner used ordered liberty in argument that being denied the ability to send an appeal for acquittal after a designated deadline violates ordered liberty rights (citing Herrera v Collins). Scalia dismisses this, saying that there is no historical/traditional or precedential basis for this.",0,Scalia,1,1,-,-,due process,2,1,0,0,0,"Herrera v. Collins,Palko v. Connecticut,Rochin v. California"
Montana v. Egelhoff,518 U.S. 37,1996,"Egelhoff, a defendant in a murder trial, presented evidence that he was intoxicated beyond any mental capabilities (to have intention behind the murder/killing). The state informed the jury that (voluntary) intoxication could not be considered to determine the mental state, and Egelhoff was convicted for murder. The Court determined that using all relevant evidence was not a fundamental right in criminal pocedure/due process. ","Souter is saying that a purely historical model must be modified. Instead of payinng attention to the rights protected when the 14th Amendment was passed, he says that tradition is a living thing, and that that which history deems as inconsistent with our concept of ordered liberty also has to be cosisten with today's rational principles as well.",0,Souter,3,1,-,-,due process (using all relevant evidence),"1,3",2,1,0,1,"Poe v. Ullman,Palko v. Connecticut"
O’Dell v. Netherland,521 U.S. 151,1997,"The question asked is if Simmons v. North Carolina ""new rule"", which stated that a defendant in a murder trial was entitled to informing the jury that the defendant was ineligible for parole if he were given a life sentence can be applied retroactively to O'Dell's case, whose jury decided he was a danger to society and sentenced him to death without knnowing an alternative.","Did not apply Simmons because the Court did not conclude that ""the right to respond to an inaccurate or misleading argument"" was not important to the accuracy of the jury's determination of his general danger to society (and to people in prison).",1,"Thomas, Rehnquist, Scalia, Kennedy",1,1,-,-,due process,5,-,0,0,0,Teague v. Lane
O’Dell v. Netherland,521 U.S. 151,1997,"The question asked is if Simmons v. North Carolina ""new rule"", which stated that a defendant in a murder trial was entitled to informing the jury that the defendant was ineligible for parole if he were given a life sentence can be applied retroactively to O'Dell's case, whose jury decided he was a danger to society and sentenced him to death without knnowing an alternative.","Stevens argues that even though the defendant was undoubtedly guilty, the procedure still violated the due process clause. Stevens criticizes the employment of the Teague rule in every retroactive application of criminal procedure cases here because the Court has never found a procedural right deemed fundamental.",0,"Stevens, Souter, Ginsberg, Breyer",3,1,-,-,due process,5,-,1,0,1,"Mackey v. United States,Palko v. Connecticut"
Kansas v. Hendricks,521 U.S. 346,1997,"Is the Kansas statute that allows the state to institutionalize/civilly commit people with ""mental abnormalities"" who are likely to commit predatory and violent sexual acts constitutional? The Court concluded that since historically, the right to not be institutionalized/incarcerated due to ""mental abnomalities"" (such as pedophiila) has not been protected, so this is not a fundamental right, so the statute is constitutional.","In the past, the involuntary confinement of people dangerous to the the public health and safety due to mental illness, so this is not an element fundamental to ordered liberty.",0,"Thomas, Rehnquist, O'Connor, Scallia, Kennedy",1,1,-,-,due process,2,-,0,0,0,Foucha v. Louisiana
Washington v. Glucksberg,521 U.S. 702,1997,"In 1997, Glucksberg v. Washington realized Rehnquist’s desire to enfold ordered liberty into a fully historical method of interpreting due process applicability. In the case, the petitioners claimed that Washington’s laws banning assisted suicide infringed on their vested right to bodily autonomy. To determine whether a right to medically assisted suicide was fundamental, Glucksberg employed a two-pronged approach:
First, we have regularly observed that the Due Process Clause specially protects those fundamental rights and liberties which are, objectively, “deeply rooted in this Nation's history and tradition,” and “implicit in the concept of ordered liberty,” such that “neither liberty nor justice would exist if they were sacrificed.” Second, we have required in substantive-due-process cases a ‘careful description’ of the asserted fundamental liberty interest. Our Nation's history, legal traditions, and practices thus provide the crucial “guideposts for responsible decisionmaking,” (sic) that direct and restrain our exposition of the Due Process Clause.
The court here established two requirements for interpreting due process analysis. First, a fundamental right must be part of our scheme of ordered liberty and objectively rooted in our history and tradition. Second, due process cases mandate a careful examination of historical legal traditions and processes. Because of the “and” clause conjoining the two requirements, both must be fulfilled. Even if we could contextualize an ordered liberty within current American values and living traditions, such an inquiry would be ultimately canceled out because the Glucksberg test safely tucks ordered liberty in with a history-and-tradition criterion. In conclusion, Rehnquist ruled that, since almost all states and laws prohibit (and continue to prohibit) medically assisted suicide, it is not a fundamental nor a constitutional right.
After Glucksberg, many more cases used the same technique to determine the fundamentality of rights and their subsequent exclusion from (and sometimes incorporation into) the 14th Amendment Due Process Clause in both ruling opinions and dissents. In Kansas v. Hendricks, Justice Thomas wrote a ruling opinion backed by justices Rehnquist, O'Connor, Scalia, and Kennedy. The opinion used history and traditions to determine whether a Kansas child molestation act, which enables the government to retain repeat child molesters in prison due to the public health and safety risks, violates ordered liberty. Looking at historical laws, they ruled that this act did not violate a fundamental liberty because there is historical basis for the involuntary confinement of persons who are a risk to public safety and or have mental illness. Therefore, the Kansas law has a place in their scheme of ordered liberty.","Rehnquist appends Snyder v. Massachusetts's ""history and traditions"" test to Palko v. Connecticut's ordered liberty to determine which rights are fundamental in due process interpretation.",0,"Rehnquist, O'Connor, Scalia, Thomas, Kennedy",1,1,4,-,unenumerated right (right to medically assisted suicide),2,1,0,0,0,"Moore v. East Cleveland,Palko v. Connecticut"
Washington v. Glucksberg,521 U.S. 702,1997,"In 1997, Glucksberg v. Washington realized Rehnquist’s desire to enfold ordered liberty into a fully historical method of interpreting due process applicability. In the case, the petitioners claimed that Washington’s laws banning assisted suicide infringed on their vested right to bodily autonomy. To determine whether a right to medically assisted suicide was fundamental, Glucksberg employed a two-pronged approach:
First, we have regularly observed that the Due Process Clause specially protects those fundamental rights and liberties which are, objectively, “deeply rooted in this Nation's history and tradition,” and “implicit in the concept of ordered liberty,” such that “neither liberty nor justice would exist if they were sacrificed.” Second, we have required in substantive-due-process cases a ‘careful description’ of the asserted fundamental liberty interest. Our Nation's history, legal traditions, and practices thus provide the crucial “guideposts for responsible decisionmaking,” (sic) that direct and restrain our exposition of the Due Process Clause.
The court here established two requirements for interpreting due process analysis. First, a fundamental right must be part of our scheme of ordered liberty and objectively rooted in our history and tradition. Second, due process cases mandate a careful examination of historical legal traditions and processes. Because of the “and” clause conjoining the two requirements, both must be fulfilled. Even if we could contextualize an ordered liberty within current American values and living traditions, such an inquiry would be ultimately canceled out because the Glucksberg test safely tucks ordered liberty in with a history-and-tradition criterion. In conclusion, Rehnquist ruled that, since almost all states and laws prohibit (and continue to prohibit) medically assisted suicide, it is not a fundamental nor a constitutional right.
After Glucksberg, many more cases used the same technique to determine the fundamentality of rights and their subsequent exclusion from (and sometimes incorporation into) the 14th Amendment Due Process Clause in both ruling opinions and dissents. In Kansas v. Hendricks, Justice Thomas wrote a ruling opinion backed by justices Rehnquist, O'Connor, Scalia, and Kennedy. The opinion used history and traditions to determine whether a Kansas child molestation act, which enables the government to retain repeat child molesters in prison due to the public health and safety risks, violates ordered liberty. Looking at historical laws, they ruled that this act did not violate a fundamental liberty because there is historical basis for the involuntary confinement of persons who are a risk to public safety and or have mental illness. Therefore, the Kansas law has a place in their scheme of ordered liberty.",Souter discusses ordered liberty post Poe v. Ullman as applying to substantive rights on a continuum instead of related to the incorporation doctrine only. The conception of ordered liberty breaks beyond the limitations of enumerated rights and orders substantive rights in relation of importance.,0,Souter,2,1,4,-,unenumerated right (right to medically assisted suicide),1,-,0,0,0,PLANNED PARENTHOOD OF SOUTHEASTERN PA. v. CASEY;Poe v. Ullman;Griswold v. Connecticut 
County of Sacramento v. Lewis,523 U.S. 833,1998,"In a motorcycle chase, the motorcycle tipped over, and the police officer killed the motorist's passenger. The parent of the passenger alleged that the police officers were reckless and deliberately indifferent to the motorist and the passenger, and this deprived the passenger's due process right to life. The Court ruled that police officers do not violate due process through reckless or indiffernce to life in an automobile chase.","Says that there are different ways of analyzing due process constitutionality. For the arbitrary overreach of executive power, they use an ordered liberty test that shocks the people's conscious. Souter ultimately does not believe that the actions taken by the police officers resulted in a tragedy, but it does not shock the consious.
""The fault claimed on Smith's part in this case accordingly fails to meet the shocks-the-conscience test.""",1,"Souter, Rehnquist, O'Connor, Kennedy, Ginsberg",1,1,-,-,due process (right to life),6,-,0,0,0,"United States v. Salerno,Rochin v. Calilfornia,Palko v. Connecticut"
County of Sacramento v. Lewis,523 U.S. 833,1998,"In a motorcycle chase, the motorcycle tipped over, and the police officer killed the motorist's passenger. The parent of the passenger alleged that the police officers were reckless and deliberately indifferent to the motorist and the passenger, and this deprived the passenger's due process right to life. The Court ruled that police officers do not violate due process through reckless or indiffernce to life in an automobile chase.","Rehnquist argues that the ""shocks-the-conscious"" test is atavistic, even more obscelete than the Glucksberg's historical traditions of the people test, which Souter took up arms against in his concurring opinion in Glucksberg. Still agrees with the judgment, but does not agree with the way they made it to this conclusion.",1,"Rehnquist, Scalia, Thomas",2,1,-,-,due process (right to life),2,6,0,0,0,"Washington v. Glucksberg,Carlisle v. United States"
Troxel v. Granville,530 U.S. 57,2000,"Grandparents requested visitation rights to see grandchildren, their daughter-in-law opposed the amount of time requested; question:does the state have a right to grant child visitation against custodial parent's wishes if it is in the child's ""best interests""; the court says no, this violates parents' liberty to care & control their children",Kennedy notes in his dissenting opinion that a right to override visitation is not implicit in the concept of ordered liberty due to an inconclusive history ,1,Kennedy,3,1,-,-,due process,2,3,0,1,-,Palko v. Connecticut
Tyler v. Cain,533 U.S. 656,2000,"This is not super important. Tyler as charged with 2nd degree murder, and he kept appealing to apply a new rule. The Court ultimately deciides that the Cage v. Louisiana rule does not count as a ""new rule"" so they can easily apply the prior case without haveing to go through the ordered liberty thing.","in a footnote, it mentions the different aspects of the second Teague exception (the watershed rule), with not real application. Just stating the facts.",0,Thomas,1,-,-,-,-,-,-,-,-,-,Teague v. Lane
Chavez v. Martinez,538 U.S. 760,2003,"Chavez, a police officer, interrogated Martinez while Martinez was getting treated for gunhot wounds without telling him his Miranda rights. Martinez was not ultimately charged, but he filed a suit against Chavez for violatig his 5th Amendment right from self incrimination. The decision, delivered by Justice Thomas, concluded that Martiez's rights were not violated because his testimony was ever used in criminal precedings.","Appllies the Glucksberg test, saying that the Court now hesitates on expanding substantive due process, saying that fudamental liberties only include those which are deeply rooted in our history and traditions *AND* implicit in ordered liberty. Says the liberty interest eeds to be carefully outlined to be deemed fundamental, and since ""the right not to be talked to"" as described by Thomas, is too generalized/vague, it is not fundamental. Since the state demonstrated a vested interest in interrogating Martinez, the action was not deemed unconstitutional.",1,Thomas,1,1,5,-,self-incrimination,"1, 2",-,0,0,0,Washington v. Glucksberg
Chavez v. Martinez,538 U.S. 760,2003,"Chavez, a police officer, interrogated Martinez while Martinez was getting treated for gunhot wounds without telling him his Miranda rights. Martinez was not ultimately charged, but he filed a suit against Chavez for violatig his 5th Amendment right from self incrimination. The decision, delivered by Justice Thomas, concluded that Martiez's rights were not violated because his testimony was ever used in criminal precedings.","Taking a similar approach to County of Sacramento v. Lewis, Stevens applies the ""shocks the consicouis"" ordered liberty to define executive overreach/misconduct. Says that the 5th Amendment right from self incrimination is implicit in the concept of ordered liberty.",0,Stevens,"2,3",1,5,-,self-incrimination,6,-,1,0,1,"United States v. Salerno,Rochin v. Calilfornia,Palko v. Connecticut"
Sell v. United States,539 U.S. 166,2003,"May the Federal Government administer antipsychotic drugs involuntarily to a mentally ill criminal defendant in order to render that defendant competent to stand trial for serious, but nonviolent, crimes? Weighed the right to bodil autonomy against the right of the state to take the accused to court.","Quoting Brennan's concurring opinion in Illinois v. Allen, Breyer presents the state's right to bring the accused to trial as essential to ordered liberty as a counter point to the opinion. Without explicitly including Sell's right to bodily autonomy under ordered liberty, He also took a Glucksberg approoach, taking the detailed facts of the case into consideration of the state's potential vested interest in  bringing Sell to trial. Breyer seems to be weighing the two rights against each other, finding that Sell's right to not being forcefully administered antipsychotic drugs the more weighted interest.",1,Breyer,1,1,-,-,due process,1,-,1,1,1,Illinois v. Allen
Schriro v. Summerlin,542 U.S. 348,2004,"Retroactive new rule, a teague test. Defendant was convicted under a previous Arizona sentencing scheme which allowed a judge to determine eligibility for the death sentence. Ring v. Arizona concluded that this was not constitutional. Schriro asked for the rule to be applied retroactively. The Court decided that it did not because although substantive due process cases are generally applied, criminal due process/procedure cases are not, and Ring did not have a watershed claim.","In dissent, Breyer states that the Court completely bypassed the actual Teague test, not using ordered liberty as a test to determine whether it was a watershed rule. Ultimately argues that Ring v. Arizona should be applied retroactively.",0,"Breyer, Stevens, Souter, Ginsberg",3,1,6,-,due process,5,-,1,0,1,Teague v. Lane
Beard v. Banks,542 U.S. 406,2004,"After Banks's murder conviction, Mills v. Maryland made a new rule invalidating unconstitutional capital sentencing schemes. The Court decides that the rule could not be applied retroactively because it did not pass either of the two Teague criteria.","In the majority opinion, Thomas basically brags that Teague's exceptions are so limited in scope that the respondent's lawyer did not try to argue that the rule was implicit in ordered liberty. The Teague rule as a form of exclusion.",1,"Thomas, Rehnquist, O'Connor, Scalia, Kennedy",1,1,-,-,due process,5,-,0,0,0,"O'Dell v. Netherland,Teague v. Lane,Graham v. Collins"
Hudson v. Michigan,547 U.S. 586,2006,"Violating the 4th Amendment knock and and announce rule, the Detroit police entered Hudson's residence and discovered narcotics. Hudson moved to suppress the evidence, but the Court concluded that the exclusionary rule did not apply to the states.","In his dissenting opinion, Breyers argued that the exclusionary rule needed to be appled to fulfill the 4th amendment knock and announce/search and seizure rule/clause. Breyer quoted Wolf v. Colorado, which concluded that the right to unlawful intrusion from police is implicit in the concept of ordered liberty.",1,"Breyer, Stevens, Souter, Ginsberg",3,1,4,-,exclusionary rule,1,-,1,0,1,"Wolf v. Colorado,Mapp v. Ohio"
Danforth v. Minnesota,552 U.S. 264,2008,"after videotapped testimonies were deemed federally unconstitutional, defendant (convicted for child sexual abuse) appealed for retroactive application of this decision; question is whether state law can be broader than federal law in criteria for retroactive application; court says yes",description of the existence of 6th amendment right to fair process trial as implicit in the concept of ordered liberty,1,Stevens,1,1,6,-,due process,1,-,1,1,-,"Teague v. Lane,Linkletter v. Walker"
Danforth v. Minnesota,552 U.S. 264,2008,"after videotapped testimonies were deemed federally unconstitutional, defendant (convicted for child sexual abuse) appealed for retroactive application of this decision; (diff arg: MN state law allows for retroactive application) question is whether state law can be broader than federal law in criteria for retroactive application; court says yes","dissenting opinion cites Teague to say that retroactive application should only occur if the violation of the ""new rule"" is absolutely necessary for the concept of ordered liberty",1,Roberts,3,1,6,-,due process,5,-,-,1,-,"Teague v. Lane,Linkletter v. Walker"
McDonald v. City of Chicago,561 U.S. 742,2010,"The Court addressed the question of whether the right to bear arms incorporated into the due process clause, was Chicago's handgun banning law unconstitutional? The Court said it is, and because the right to own guns is implicit in ""our Nation""s ordered liberty, the 14th Amendment incorporated the 2nd Amendment, making it applicable to the states.","First, Justice Alito provides an overview of due process interpretation, including many decisions which used ordered liberty, showing that there have always been different ways. The overview then turns to what the proper way of finding if something is protected by the due process clause, which is a combination of Duncan's understanding of ""*our* scheme of ordered liberty"" and Glucksberg's history and traditions test. Alito then says that Heller v. ... succintly demonstrated the historical and traditional evidence for the fundamentality of the right. Notably, it says ordered liberty *or* history and traditions, but it ultimately becomes the same thing when you put ""our scheme"" and history and traditions hand in hand. ",0,Alito,1,1,2,-,bear arms,2,"1,3",1,1,1,"Palko v. Connecticut,Duncan v. Louisiana,Washington v. Glucksberg,Snyder v. Massachusetts,Adamson v. California"
McDonald v. City of Chicago,561 U.S. 742,2010,Is the right to bear arms incorporated into the due process clause? Is Chicago's handgun banning law unconstitutional,Justice Thomas affirms that the Duncan+Glucksberg ordered liberty and history and traditions test is well established even if he believes that the 2nd Amendment should be protected by the privileges and immunities clause.,1,Thomas,2,1,2,-,bear arms,2,2,1,1,1,"Duncan v. Lousiana,Washington v. Glucksberg"
McDonald v. City of Chicago,561 U.S. 742,2010,Is the right to bear arms incorporated into the due process clause? Is Chicago's handgun banning law unconstitutional,Justice Stevens defended the different uses of ordered liberty beyond a history and traditions test,0,"Stevens, Breyer",2,1,2,-,bear arms,1,-,0,1,0,"Lawence v. Texas,Duncan v. Louisiana,Palko v. Connecticut"
NASA v. Nelson,562 U.S. 134,2011,Does NASA requiring a background check for all its employees violate its employees' right to informational privacy? The Court said it does not because it is in the government's interest to know the criminal record of its employees.,"In discussing the potential precedent for informational privacy, the Court considers Whalen v. Roe as evidence, but because it was about public disclosure, and not information for the company to do with it what it sees fit, it does not apply. The discussion is in footnote 9, which discusses different ways Whalen has been incorporated in lower courts' arguments in information privacy, saying that the 6th Court decided in J.P. v. DeSanti that information privacy must be constitutionally protected if it's implicit in ordered liberty.",1,Alito,1,1,4,-,unenumerated right to information privacy,2,-,0,0,0,Whalen v. Roe
Perry v. New Hampshire,565 U.S. 228,2012,Does the Due Process Clause require a preliminary judicial inquiry into the reliability of an eyewitness identification when the identification was not procured under unnecessarily suggestive circumstances arranged by law enforcement? (almost a copy and paste from the syllabus.) The Court did not find the due process clause required it because of the lack of unnecessary suggestive identity procurement.,"Says that the omission of illegally/non procedurally procured evidence is a part of our concept of ordered liberty, but the way the police obtained the identification was not shady or suggestive, so it doesn't count.",0,Ginsberg,1,1,-,-,due process,1,-,1,0,0,Napue v. Illinois
