Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1,drew_from_2,Quotes,notes,,,,how used,notes
"Gertz v. Robert Welch, Inc",418 U.S. 323,1974,"The petitioner, a reputable attorney, was set to prosecute a policeman in a murder trial, and a newspaper slandered them, implying that the atttorney was a communist. They charged Times, Inc. with libel. Ultimately decided that 1st Amendment rights protect the free press.","Seems to make an argument about the 1st Amendment that mirrors the concept of ordered liberty: that complete freedom of speech will actually cause disorder, which will limit people's freedoms. Quotes Rosenblatt, saying that the protection of one's reputation and identity has to be a part of some system of ordered liberty.",0,White,3,0,4,1,defamation;unenumerated privacy right,4,-,1,0,1,Rosenblatt,-,"""The legitimate state interest underlying the law of libel is the compensation of individuals for the harm inflicted on them by defamatory falsehood. We would not lightly require the State to abandon this purpose, for, as MR. JUSTICE STEWART has reminded us, the individual's right to the protection of his own good name ""reflects no more than our basic concept of the essential dignity and worth of every human being -- a concept at the root of any decent system of ordered liberty. The protection of private personality, like the protection of life itself, is left primarily to the individual States under the Ninth and Tenth Amendments. But this does not mean that the right is entitled to any less recognition by this Court as a basic of our constitutional system.""
""I fail to see how the quality or quantity of public debate will be promoted by further emasculation of state libel laws for the benefit of the news media. 41Link to the text of the note If anything,  [*400]  this trend may provoke a new and radical imbalance in the communications process. Cf. Barron, Access to the Press -- A New First Amendment Right, 80 Harv. L. Rev. 1641, 1657 (1967). It is not at all inconceivable that virtually unrestrained defamatory remarks about private citizens will discourage them from speaking out and concerning themselves with social problems. This would turn the First Amendment on its head.""",,,,,,
"Paul v. Davis, 424 U.S. 693",424 U.S. 693,1976,"In Paul v. Davis, Justice Brennan used Stewart’s concurrence in Rosenblatt in dissent against the holding’s affirmation that the Due Process Clause does not protect individuals from having their mugshots posted publicly by police officers. Since criminals are vilified in our country, Brennan argued that this violated human dignity, which should rest high in any scheme of ordered liberty and must be protected. ","Says that this right to privacy from the disclosure of one's arrest in public areas is nothing like the things that ordered liberty has protected in the past (like marriage, contraception, abortion), so it is not considered private and incorporated through the 4th and 14th amendments",0,Rehnquist,1,1,4,-,unenumerated,4,,0,0,0,Palko,Roe v. Wade,"While there is no ""right of privacy"" found in any specific guarantee of the Constitution, the Court has recognized that ""zones of privacy"" may be created by  [*713]  more specific constitutional guarantees [****31]  and thereby impose limits upon government power. See Roe v. Wade, 410 U.S. 113, 152-153 (1973).Respondent's case, however, comes within none of these areas. He does not seek to suppress evidence seized in the course of an unreasonable search. See Katz v. United States,  [***421]  389 U.S. 347, 351 (1967); Terry v. Ohio, 392 U.S. 1, 8-9 (1968). And our other ""right of privacy"" cases, while defying categorical description, deal generally with substantive aspects of the Fourteenth Amendment. In Roe the Court pointed out that the personal rights found in this guarantee of personal privacy must be limited to those which are ""fundamental"" or ""implicit in the concept of ordered liberty"" as described in Palko v. Connecticut, 302 U.S. 319, 325 (1937). The activities detailed as being within this definition were ones very different from that for which respondent claims constitutional protection -- matters relating to marriage, procreation, contraception, family relationships, and child rearing and education. In these areas it has been held that there are limitations on the States' power to substantively regulate conduct.
Respondent's claim is far afield from this line of decisions. He claims [****32]  constitutional protection against the disclosure of the fact of his arrest on a shoplifting charge. His claim is based, not upon any challenge to the State's ability to restrict his freedom of action in a sphere contended to be ""private,"" but instead on a claim that the State may not publicize a record of an official act such as an arrest. None of our substantive privacy decisions hold this or anything like this, and we decline to enlarge them in this manner.",,,,,,
"Paul v. Davis, 424 U.S. 693",424 U.S. 693,1976,"In Paul v. Davis, Justice Brennan used Stewart’s concurrence in Rosenblatt in dissent against the holding’s affirmation that the Due Process Clause does not protect individuals from having their mugshots posted publicly by police officers. Since criminals are vilified in our country, Brennan argued that this violated human dignity, which should rest high in any scheme of ordered liberty and must be protected. ","Since criminals are vilified in our country, Brennan argued that this violated human dignity, which should rest high in any scheme of ordered liberty and must be protected.",0,Brennan,3,1,4,-,unenumerated,4,,1,0,1,Rosenblatt,Says that fundamental rights implicit in our concept of ordered liberty are related to specific rights mostly related to rights to privacy... interesting...,,,,,,,
Bykofsky v. Middletown,429 U.S. 964,1976,"An ordinance in Middletown, Pennsylvania imposed a universal curfew on minors which made it illegal for them to be out on the street past a certain time, and for parents to knowingly or through negligence allow them to do so. The majority dismissed the case, while the dissent argued that it was necessary for the court to rule on this issue.",The freedom for minors to leave their house fall under ordered liberty?,0,Marshall,3,1,,,,1,,1,0,0,Palko,,"""The freedom to leave one's house and move about at will is ""of the very essence of a scheme of ordered liberty,"" Palko v. Connecticut, 302 U.S. 319, 325 (1937), and hence is protected against state intrusions by the Due Process Clause of the Fourteenth Amendment."" (pg. 964)","This one's a bit of a stub (no majority opinion, only 2 paragraphs of dissent). Ordered liberty is mentioned only in the context that it would be worth considering if the court were to grant appeal (which it doesn't).",,,,,
Whalen v. Roe,429 U.S. 589,1977,"In 1972, New York State passed an act mandating that digital records (name, address, drug, dosage, pharmacy, etc) be kept of anyone who was prescribed a Schedule II substance (one with high capacity for abuse but with medical use) in a centralised database. The court ruled unanimously that this did not constitue a violation of the right to privacy.","Is the ""zone of privacy"" around medical records, which is a part of ordered liberty, violated by this law?",1,Stevens,1,0,,,,1,,1,0,0,Palko,,"""Appellees contend that the statute invades a constitutionally protected ""zone of privacy."" The cases sometimes characterized as protecting ""privacy"" have in fact involved at least two different kinds of interests. One is the individual interest in avoiding disclosure of personal matters, and another is the interest in independence in making certain kinds of important decisions."" (pg. 598-600)","""Ordered liberty"" barely comes up, and is only mentioned explicitly in a footnote to explain a reference made by the author. The case also describes the database as a ""centralised computer file"" which I think is a bit funny.",,,,,
Ingraham v. Wright,430 U.S. 651,1977,"Two students in Florida, through their parents, sued certain school officials and the school for having administered corporal punishment (paddling), arguing that this was a violation of their 8th Amendment protections against cruel and unusual punishment. The court found in favour of the school, arguing that the 8th applied specifically to those convicted of a crime, and also that school officials are under public scrutiny and are limited in their actions by the requirement that any punishment be ""reasonably necessary"".",The right to personal security protecetd in the 4th amendment falls under ordered liberty,1,Powell,1,1,4,,protection of physical security,1,,1,0,0,Wolf,,,"""Ordered liberty"" barely comes up, and is only mentioned explicitly in a footnote to explain a reference made by the author.",,,,,
Moore v. East Cleveland,431 U.S. 494,1977,"Zoning law on nuclear family, says restricting it to the nuclear family is arbitrary and not a part of American values",,,"Stewart, Rehnquist",3,,,,,,,,,,,,,,,,,"""Appropriate limits on substantive due process come not from drawing arbitrary lines but rather from careful ""respect for the teachings of history [and] solid recognition of the basic values that underlie our society."" FOOTNOTE GOING TO: ""A similar restraint marks our approach to the questions whether an asserted substantive right is entitled to heightened solicitude under the Equal Protection Clause because it is ""explicitly or implicitly guaranteed by the Constitution,"" San Antonio Independent School Dist. v. Rodriguez, 411 U.S. 1, 33-34 (1973), and whether or to what extent a guarantee in the Bill of Rights should be ""incorporated"" in the Due Process Clause because it is ""necessary to an Anglo-American regime of ordered liberty."" Duncan v. Louisiana, 391 U.S. 145, 149-150, n. 14 (1968)""",
Moore v. East Cleveland,431 U.S. 494,1977,"Zoning law on nuclear family, says restricting it to the nuclear family is arbitrary and not a part of American values",,,White,3,,,,,,,,,,,,,,,,,"""Appropriate limits on substantive due process come not from drawing arbitrary lines but rather from careful ""respect for the teachings of history [and] solid recognition of the basic values that underlie our society."" FOOTNOTE GOING TO: ""A similar restraint marks our approach to the questions whether an asserted substantive right is entitled to heightened solicitude under the Equal Protection Clause because it is ""explicitly or implicitly guaranteed by the Constitution,"" San Antonio Independent School Dist. v. Rodriguez, 411 U.S. 1, 33-34 (1973), and whether or to what extent a guarantee in the Bill of Rights should be ""incorporated"" in the Due Process Clause because it is ""necessary to an Anglo-American regime of ordered liberty."" Duncan v. Louisiana, 391 U.S. 145, 149-150, n. 14 (1968)""",
Roberts v. Louisiana,431 U.S. 633,1977,"A Louisianna man was convicted of killing a police officer and sentenced to death. He appealed the conviction, arguing that the Lousianna standards for the death penalty (mandatory in cases where the defendant had the intention to kill or cause great bodily harm) violated the 8th and 14th amendments. The Supreme Court found in his favour, ruling the Lousianna statute unconstitutional.","Because of police officers' specific role in ensuring the preservation of ordered libety, is it constitutional to pass a law mandating the death penalty for their murder?",1,Rehnquist,3,1,8,,cruel and unusual punishment,1,,1,1,0,,,"""While the arguments weighing in favor of individualized consideration for the convicted defendant are much the same here as they are for one accused of any homicide, the arguments weighing in favor of society's determination to impose a mandatory sentence for the murder  [***646]  of a police officer in the line of duty are far stronger than in the case of an ordinary homicide."" (pg. 645-646)

""Policemen on the beat are exposed, in the service of society, to all the risks which the constant effort to prevent crime and apprehend criminals entails: Because these people  [*647]  are literally the foot soldiers of society's defense of ordered liberty, the State has an especial interest in their protection."" (pg. 646)",Lots of stress on the fact that the murder of a police officer specifically is what's at play here --> a key argument for the dissent is that there is no context in which the intentional killing of a police officer could have mitigating circumstances worth consdering.,,,,,
Baker v. McCollan,443 U.S. 137,1979,"A person’s brother was arrested for narcotics (Leondard). He was using a fake ID with the brother’s name and picture, and was let out on bail. Later the brother (Linny) (not the actual person who did the narcotics crime), had an arrest warrant sent out for him. He was arrested after a minor traffic violation. After this, the brother (Linny) files a lawsuit against the sheriff saying that the petitioner “deprived” him of his constitutional rights. The supreme court reversed the judgment of the appeals court because they stated the brother did not have a claim against the sheriff. These were the reasons the court gave: The arrest was made through a valid warrant, the constitution doesn’t obligate the sheriff to check claims of innocence especially when it’s an arrest warrant, and false imprisonment didn’t constitute a 14th amendment violation just because the petitioner was a state official (sheriff). ","Used in the concurring argument, Justice Blackmun states that the court did not take into account whether the petitioner's (the sheriff) actions violated the concept of ordered liberty or ""shocks the conscience"". He says that the Court's opinion did not talk about the possibility of deliberate failure by police/ law enforcement to check identities, which could constitute a due process violation. Overall, he agrees with the opinion because the actions of the sheriff were not deliberate, but procedural and did not completely violate the respondent’s (the brother) rights.",0,Blackmun,2,1,-,-,due process,1,-,1,0,1,Palko,-,"“The Constitution does not guarantee that only the guilty will be arrested. If it did, § 1983 would provide a cause of action for every defendant acquitted -- indeed, for every suspect released.”",03/24 OL notes,,,,,
Richmond Newspapers v. Virginia,448 U.S. 555,1980,"A defendant’s lawyer requested that the trial be closed to the public, and the prosecutor agreed. Virginia law allows the exclusion of people if they interfere with a fair trial, so the courtroom was cleared except for witnesses. Reporters were there, asking for a hearing to cancel the closure, but they were denied. Later, after the case was done, appealed to the state supreme court, they dismissed the case. The Supreme court agreed that the closure order violated the public and press's First and Fourteenth Amendment rights to access criminal trials.","n Brennan’s concurring argument, ordered liberty is just mentioned. He uses it to say that because the U.S. is a place founded by the idea of ordered liberty, people should know they are governed equally. There is no legal context, he is simply stating that ordered liberties exist in America",1,Brennan,2,0,1,1,freedom of the press,-,-,-,-,-,-,-,,03/24 OL notes,,,,,
Kolender v. Lawson,461 U.S. 352,1983,"A person has been arrested multiple times but only convicted twice under a statute that requires people who loiter on the streets (assuming homeless individuals) to provide “credible and reliable” identification when approached by police officers. The person took civil action, the district court said that even though it was unconstitutional, he could not recover damages because the officers acted in “good faith.” The court ruled that the stature was unconstitutional because it is too vague under the 14th amendment and does not clarify what is “credible and reliable” identification.","Ordered liberty is just mentioned in the opinion. It is mentioned to support the idea that the constitution was created to “maximize individual freedoms” and doing so, follows the concept of ordered liberty. There is no actual legal action/justification that uses ordered liberty, it is simply just used to emphasize the purpose of the constitution. ",1,O’Connor,1,1,-,-,due process,-,-,1,1,1,-,-,,03/24 OL notes,,,,,
Bowers v. Hardwick,478 U.S. 186,1986,"Hardwick was observed by a Georgia police officer while engaging in an act of consnesual homosexual sodomy with another adult in his bedroom. He was charged with violating a Georgia statute that criminalized sodomy. Does the Constitution confer a fundamental right upon homosexuals to engage in consensual sodomy, thereby invalidating the laws of many states which make such conduct illegal?",Ordered liberty was only mentioned to say it doesn't apply to this case. ,1,White,1,1,,,,1,,0,0,0,Palko (used) ,Moore mentioned,"""Against this background, to claim that a right to engage in such conduct is ""deeply rooted in this Nation's history and tradition"" or ""implicit in the concept of ordered [****13]  liberty"" is, at best, facetious""",the judges brought up ordered liberty with both the fundamental liberties test or the deeply rooted in history test. The Court argued that neither formulation would extend to fundamental rights to homosexual couples to engage in sodomy. ,,,,,
Truesdale v. Aiken,480 U.S. 527,1987,,mentioned in footnotes,1,Harlan,,,,,,,,,,,,,"""Justice Harlan identified two exceptions to this rule: cases that ""place . . . certain kinds of primary, private individual conduct beyond the power of the criminal law-making authority,"" 401 U.S., at 692, and where there are ""claims of nonobservance of those procedures that . . . are 'implicit in the concept of ordered liberty,'"" id., at 693 (quoting Palko v. Connecticut, 302 U.S. 319, 325 (1937)). Neither of these exceptions is applicable to this case.",ordered liberty was listed as a possible exception to this case but it wasn't applicable.,,,,,
United States v. Salerno*,481 U.S. 739,1987,Two defendants were indicted on various charges (including racketerring and conspiracy to commit murder.) the government sought pretrial detention but there was an argument that detaining individuals solely to prevent future crimes violated substantive due process. the courts ultimately upheld the constitutionality of the bail reform act. ,"ordered liberty was used as a standard to measure the constiutionality of government actions. it was used to justify the constitutionality of the bail reform act as they reasoned that detention was used only if the government can show that the accused poses a danger to others, falling under the regulatory side of punitive vs regulatory distinction. They argued that Congress didn't mean to intend pretrial detention as a punishment but rather as a means to address a societal problem. ",0,Rehnquist,1,1,"5,8",,"due process, bail clause",1,,0,0,0,Palko,,"""So-called ""substantive due process"" prevents the government from engaging in conduct that ""shocks the conscience,"" Rochin v. California, 342 U.S. 165, 172 (1952), or interferes with rights ""implicit in the concept of ordered liberty,""","ordered liberty was used to justify the constitutionality of the bail reform act, which allows pretrial detention if the government can show that the accused poses a danger to others. ",,,,,
United States v. Salerno*,481 U.S. 739,1987,Two defendants were indicted on various charges (including racketerring and conspiracy to commit murder.) the governmen sought pretrial detention but there was an argument that detaining individuals solely to prevent future crimes violated substantive due process. ,presumption of innocence is implicit in the concept of ordered liberty,0,"Marshall, Brennan",3,1,"5,8",,"due process, bail clause",1,,1,0,1,Palko,,""" Our society's belief, reinforced over the centuries, that all are innocent [****46]  until the state has proved them to be guilty, like the companion principle that guilt must be proved beyond a reasonable doubt, is ""implicit in the concept of ordered liberty,"" Palko v. Connecticut, 302 U.S. 319, 325 (1937), and is established beyond legislative contravention in the Due Process Clause""","the dissenting judges criticize the majority's interpretation of separating the analysis into 2 parts (the substantive due process and the excessive bail clause) in a way that doesn't make sense. in essence, the dissent is saying that the majority decision doesn't consider how important the presumption of innocence is. ",,,,,
Yates v. Aiken,484 U.S. 211,1988,"Two men, armed, robbed a store. One of them, upon leaving, fatally injured the shop owner's mother, and was himself killed. The other was convicted of armed robbery and sentenced to death. However, he appealed this sentence on the basis that the jury was given incorrect instructions (this was found to be true by the South Carolina Supreme Court). This appeal was denied by lower courts, but the Supreme Court, in a unanimous decision, ordered that an appeal must be granted based on these misleading jury instructions.",Constitutional decisions made by the court are applicable in the case where this decision upholds the principles of ordered liberty.,1,Stevens,1,1,,,due process,1,,-,1,-,Mackey v. United States,,"""The South Carolina Attorney General submits that we should adopt Justice Harlan's theory that HN3 a newly announced constitutional rule should not be applied retroactively to cases pending on collateral review unless the  [****9]  rule places ""certain kinds of primary, private individual conduct beyond the power of the criminal law-making authority to proscribe,"" Mackey v. United States, 401 U.S. 667, 692 (1971) (Harlan, J., concurring in part and dissenting in part), or enunciates a procedural rule that is ""implicit in the concept of ordered liberty,"" id., at 693."" (pg 215)","The justices don't really talk about whether ordered liberty would apply in this case, they bring it up as an example of when constitutional decisions can be applied retroactively, but go on to argue that this decision should apply retroactively for different reasons (that this decision is rooted in ""deep constitutional principles"" that ""don't change from year to year""). Therefore, it's not really clear if the justices' interpretation of ordered liberty would include the petitioner's right to appeal.",,,,,
Thompson v. Oklahoma,487 U.S. 815,1988,"A 15 year old boy in Oklahoma was convicted of brutually murdering his sister's abusive husband, and was setencted to death (!!). In his appeal, he argued that the death sentence applied to minors under the age of 16 violated the 8th and 14th amendments. The court agreed, and his death sentence was overturned.","""The practices of other nations, particularly other democracies, can be relevant to determining whether a practice uniform among our people is not merely a historical accident, but rather so ""implicit in the concept of ordered liberty"" that it occupies a place not merely in our mores but, text permitting, in our Constitution as well."" (footnote 4, pg. 868)",1,Scalia,3,1,8,,cruel and unusual punishment,1,2,0,1,1,Palko,Common law cases of executions of under 16s in UK and US.,"""The conclusion that it would offend civilized standards of decency to execute a person who was less than 16 years old at the time of his or her offense is consistent with the views that have been expressed by respected professional organizations, by other nations that share our Anglo-American heritage, and by the leading members of the Western European community."" (pg. 830)

""The practices of other nations, particularly other democracies, can be relevant to determining whether a practice uniform among our people is not merely a historical accident, but rather so ""implicit in the concept of ordered liberty"" that it occupies a place not merely in our mores but, text permitting, in our Constitution as well."" (footnote 4, pg. 868)","Interesting to see debate over what kinds of ordered liberty get drawn in --> pluraity examines other countries, Scalia argues this is irrelevant, and that the fact that a large minority of states (~40%) in the US allow for the execution of minors under 16 should tell the court everything it needs to know about the relevance of executing 15 year olds to ordered liberty in the US.

The death penalty was only outlawed for all minors in 2005. Very cool and normal of Scalia to be ok with the state executing children and also anti abortion. If a fetus encouraged her mother to take actions in pursuit of a galaxy-wide holy war/genocide à la Dune, would Scalia be ok with abortion as punishment? Discuss.",,,,,
Michael H. v. Gerald D.,491 U.S. 110,1989,"A married woman had a child with a man (Michael) who was not her husband (this was demonstrated by DNA test, even though the husband (Gerald D.) maintained the child was his -- under California law, a DNA test is only recognised by the court if the mother or her husband accept). Michael (and the child, through him) sued for right to visitation, which was denied on the grounds that the child was born out of wedlock and under California law, the husband is presumed to be the father except in very specific cases that were not met. The Supreme Court upheld this decision.",Michael argues that preventing him from visitng his kid without allowing him the opportunity to take a recognised paternity test constituted a violation of his liberty without due process. --> Does ordered liberty include visitation rights for fathers in this way?,1,Scalia,1,1,-,,deprivation of liberty without due process,1,,0,0,0,"Snyder v. Massachusets, Palko",,"""It is an established part of our constitutional jurisprudence that HN2 the term ""liberty"" in the Due Process Clause extends beyond freedom from physical restraint. See, e. g., Pierce v. Society of Sisters, 268 U.S. 510 (1925);Meyer v. Nebraska, 262 U.S. 390 (1923).Without that core textual meaning as a limitation, defining the scope of the Due Process Clause ""has at times been a treacherous field for this Court,"" giving ""reason for concern lest the only limits to . . . judicial intervention become the predilections of those who happen at the time to be Members of this Court."" Moore v. East Cleveland, 431 U.S. 494, 502 (1977)."" (pg. 121)

""Finally, we may note that this analysis is not inconsistent with the result in cases such as Griswold v. Connecticut, 381 U.S. 479 (1965), or Eisenstadt v. Baird, 405 U.S. 438 (1972). None of those cases acknowledged a longstanding and still extant societal tradition withholding the very right pronounced to be the subject of a liberty interest and then rejected it. Justice Brennan must do so here. In this case, the existence of such a tradition, continuing to the present day, refutes any possible contention that the alleged right is ""so rooted in the traditions and conscience of our people as to be ranked as fundamental,"" Snyder v. Massachusetts, 291 U.S. 97, 105 (1934), or ""implicit in the concept of ordered liberty,"" Palko v. Connecticut, 302 U.S. 319, 325 (1937)."" (footnote 6, pg. 127)

""Though the dissent has no basis for the level of generality it would select, we do: We refer to the most specific level at which a relevant tradition protecting, or denying protection to, the asserted right can be identified. If, for example, there were no societal tradition, either way, regarding the rights of the natural father of a child adulterously conceived, we would have to consult, and (if possible) reason from, the traditions regarding natural fathers in general. But there is such a more specific tradition, and it unqualifiedly denies protection to such a parent."" (footnote 6, pg. 127)","In footnote 6, pg 127, interesting discussion of the ""specificity"" question, which is one I had going in: if we grant that a right falls under ordered liberty, how specific do we make the right? Brennan argues in the dissent that ""parental"" relationships deserve protection, but Scalia focuses his attention on the most specific possible case of ""parental relationships borne out of adultery"", and focuses his argument around whether ordered liberty should protect those. He raises the (imo kinda valid) point that if the court is willing to adjudicate this issue in the context of parental relationship, then why not adjudicate it in the context of a ""family relationship"", or even of ""emotional attatchements in general""? Scalia argues that the court should consider the case as specifically as possible (meaning, in as specific a context as possible where existing jurisprudence/laws/social norms exist --> see 3rd quote), and adjudicate whether ordered liberty applies specifically to cases of children born out of wedlock where the mother is married to another man, as opposed to parental relationships in general. This is the first Supreme Court case I've read where this issue with specificity has come up, so I think it's worth referencing in discussions.

Hope this explanation is clear, please let me (Athan) know if it's not cause I think this issue is pretty pertinent and kind of underdiscussed.",,,,,
Stanford v. Kentucky,492 U.S. 361,1989,"Kevin Stanford is convicted of murder, robbery and sodomy and was sentenced to death (which was permitted under a state statute that said that minors could receive the death penalty for Class A felonies), Stanford appealed under the 8th Amendment (cruel and unusual punishment), the Supreme Court decided that the states must locally decide how to the use the death penalty","Scalia references a quote from Thompson v. Oklahoma stating that historical importance and precendent is important to determine whether a right is implicit in ordered liberty, but regardless, it does not necessarily mean that the Eighth Amendment must be incorporated",1,Scalia,1,1,8,,cruel and unusual punishment,1,"2,4",0,0,0,Thompson v. Oklahoma,Palko,"While ""[t]he practices of other nations, particularly other democracies, can be relevant to determining whether a practice uniform among our people is not merely a historical accident, but rather so 'implicit in the concept of ordered liberty' that it occupies a place not merely in our mores, but, text permitting, in our Constitution as well,"" they cannot serve to establish the first Eighth Amendment prerequisite, that the practice is accepted among our people.",,,,,,
Butler v. McKellar,494 U.S. 407,1990,"Butler was arrested on an assault charge and then was informed that he was a suspect in the Pamela Lane murder trial, during police interrogation, he waived his rights about the assault charge for which he was arrrested and then made incriminating statements about the Lane murder which was used against him in court and he was sentenced to death for the murder of Lane, he argued that he wanted to invoke his right to counsel for the murder but not the assault charge and that his statements were inadmissible but the Court of Appeals said that he had already waived his rights and that the Fifth Amendment does not apply to police interrogations according to Arizona v. Roberson, the Supreme Court held up the decision of the Court of Appeals","Rehnquist states that the ""new rule"" established in Roberson can only not apply in a case of collateral review given that the observance of certain procedures are implicit within the idea of ordered liberty, when the accuracy of the conviction would be diminished without it",0,Rehnquist,1,0,-,5,self-incrimination,1,-,1,0,0,Edwards v. Arizona,Arizona v. Roberson,"""The scope of that exception -- for a rule that requires the observance of those procedures that are implicit in the concept of ordered liberty -- is limited to those new procedures without which the likelihood of an accurate conviction is seriously diminished."" (p. 494)",,,,,,
"Cruzan v. Director, Missouri Department of Health",497 U.S. 261,1990,"Cruzan was a woman who was severely injured in an automobile accident and was in a ""persistive vegetative state"". Her parents attempted taking her off her life-support system but the state hospital officials refused to do so without getting approval from Court. Missouri state policty requried there to be clear evidence that the patient wanted to be taken off life-support. The Supreme Court upheld the decision to not take her off life-support because there wasn't sufficient evidence that Cruzan did not want the support and the policy ensures that patients are secure from family members that do not always have the patient's best interest in mind.","While agreeing with the majority, Scalia asserts that while the idea of ""assisted suicide"" does not fall within ordered liberty, this case cannot be classified as such because the measures taken to keep Cruzan alive could be perceived as extraordinary and failing to provide her with sustenance (ultimately killing her) would not cause her pain.",0,Scalia,2,1,-,-,unenumerated right,2,-,1,0,1,Palko,,"""there is no significant support for the claim that a right to suicide is so rooted in our tradition that it may be deemed 'fundamental' or 'implicit in the concept of ordered liberty.'""","This case is essentially discussing whether the right to die or the right to life should be considered part of individual rights under ""ordered liberty"", with his concurring opinion, Scalia raises the question of whether assisted suicide and dying from refusing treatement are two different ideas",,,,,
"Cruzan v. Director, Missouri Department of Health",497 U.S. 261,1990,"Cruzan was a woman who was severely injured in an automobile accident and was in a ""persistive vegetative state"". Her parents attempted taking her off her life-support system but the state hospital officials refused to do so without getting approval from Court. Missouri state policty requried there to be clear evidence that the patient wanted to be taken off life-support. The Supreme Court upheld the decision to not take her off life-support because there wasn't sufficient evidence that Cruzan did not want the support and the policy ensures that patients are secure from family members that do not always have the patient's best interest in mind.","In one of the dissenting opinions written by Justice Stevens, ordered liberty is used to state that individuals have a right to make decisions about their private life and death falls under that liberty.",0,Stevens,3,1,4,-,unenumerated right,1,-,1,0,1,Palko,,"""Nevertheless, this Court has long recognized that the liberty to make the decisions and choices constitutive of private life is so fundamental to our ""concept of ordered liberty,"" Palko v. Connecticut, 302 U. S. 319, 302 U. S. 325 (1937), that those choices must occasionally be afforded more direct protection.""",Stevens discusses the idea that families have the right to make decisions privately and that that right is fundamental within the idea of ordered liberty,,,,,
Riggins v. Nevada,504 U.S. 127,1992,"Defendant filed motion to be taken of antipsychotic drugs, trial court denied without justifying continued medication, ultimately convicted for murder and roberry; scotus reversed claiming a justification from the court must be provided for denying such motions; cited 6th and 14th ammendments","cites another case in which constitutional power to bring the accused to trial is deemed as necessary in a scheme of ""ordered liberty""",1,O'Connor,1,1,6,-,full and fair trial,1,,-,1,-,Illinois v. Allen,,""" the State might have been able to justify medically appropriate, involuntary treatment with the drug by establishing that it could not obtain an adjudication of Riggins' guilt or innocence by using less intrusive means. See Illinois v. Allen, 397 U.S. 337, 347, 25 L. Ed. 2d 353, 90 S. Ct. 1057  [*136]  (1970) (Brennan, J., concurring) (""Constitutional power to bring an accused to trial is fundamental to a scheme of 'ordered liberty' and prerequisite to social justice and peace"")""","OL not conceptualized as protecting an individual's right, but rather state's right to enact order",,,,,
Troxel v. Granville,530 U.S. 57,2000,"Grandparents requested visitation rights to see grandchildren, their daughter-in-law opposed the amount of time requested; question:does the state have a right to grant child visitation against custodial parent's wishes if it is in the child's ""best interests""; the court says no, this violates parents' liberty to care & control their children",Kennedy notes in his dissenting opinion that a right to override visitation is not implicit in the concept of ordered liberty due to an inconclusive history ,1,Kennedy,3,1,-,-,due process,2,3,0,1,-,Palko,,"""In light of the inconclusive historical record and case law, as well as the almost universal adoption of the best interests standard for visitation disputes, I would be hard pressed to conclude the right to be free of such review in all cases is itself ""'implicit in the concept of ordered liberty.'""""","Kennedy's OL includes parental rights to determine general nature of their child's care, but NOT the right to be free of best interest review in visitation cases, given that contemporary and historical practices demonstrate not all families are nuclear families, and at times custodial parents may not have been primary caretakers of children; Kennedy reserves any adjudication on whether the parental right should be upheld in the particular case.",,,,,
Danforth v. Minnesota,552 U.S. 264,2008,"after videotapped testimonies were deemed federally unconstitutional, defendant (convicted for child sexual abuse) appealed for retroactive application of this decision; question is whether state law can be broader than federal law in criteria for retroactive application; court says yes",description of the existence of 6th amendment right to fair process trial as implicit in the concept of ordered liberty,1,Stevens,1,1,6,-,due process,1,,1,1,-,Teague,Linkletter,"""In construing that Amendment, we have held that it imposes minimum standards of fairness on the States, and requires state criminal  [*270]  trials to provide defendants with protections ""implicit in the concept of ordered liberty.""""","Stevens refers to OL as protecting the incorporation of the 6th amendment right to a fair trial, but not in the context of this case",,,,,
Danforth v. Minnesota,552 U.S. 264,2008,"after videotapped testimonies were deemed federally unconstitutional, defendant (convicted for child sexual abuse) appealed for retroactive application of this decision; (diff arg: MN state law allows for retroactive application) question is whether state law can be broader than federal law in criteria for retroactive application; court says yes","dissenting opinion cites Teague to say that retroactive application should only occur if the violation of the ""new rule"" is absolutely necessary for the concept of ordered liberty",1,Stevens,3,1,6,-,due process,1,,-,1,-,Teague,Linkletter,"""(deciding whether rule is applicable to cases on collateral review turns on whether the rule ""places 'certain kinds of primary, private individual conduct beyond the power of the criminal law-making authority to proscribe,'"" and whether the rule is an ""absolute prerequisite to fundamental fairness that is 'implicit in the concept of ordered liberty'"")""","refers to OL as a method for determining when to use federal habeas, but doesn't connect OL, specifically, to the analysis of this right",,,,,
